date,trades_count,total_pnl,avg_pnl,total_vol,avg_lev,cum_pnl,daily_return,rolling_vol_14,drawdown,max_drawdown_pct,sentiment_raw,sentiment_label
2024-04-06,53,52.211438,0.9851214716981133,24243.41,,150790.09706800003,52.211438,9237.364111745832,0.0,0.0,75.0,greed
2024-04-07,25,0.0,0.0,430568.01,,150790.09706800003,0.0,9241.747436864458,0.0,0.0,78.0,greed
2024-04-08,127,-122672.000883,-965.9212667952756,1207744.07,,28118.09618500003,-122672.000883,35124.676112682166,-122672.000883,-0.8135282307543051,76.0,greed
2024-04-09,34,1065.785132,31.346621529411763,131480.97,,29183.881317000032,1065.785132,35130.9830354078,-121606.215751,-0.8064602259401735,80.0,greed
2024-04-10,1,0.0,0.0,0.34,,29183.881317000032,0.0,35117.528929561064,-121606.215751,-0.8064602259401735,78.0,greed
2024-04-11,36,2799.410474,77.76140205555555,451811.97,,31983.291791000032,2799.410474,35150.87526448335,-118806.805277,-0.7878952768590838,76.0,greed
2024-04-12,319,292891.815021,918.1561599404388,769287.65,,324875.10681200004,292891.815021,87063.08272689262,0.0,0.0,79.0,greed
2024-05-01,66,164.141565,2.486993409090909,1703942.66,,325039.24837700004,164.141565,87060.75788544271,0.0,0.0,54.0,greed
2024-05-02,72,-33.45419400000003,-0.4646415833333337,770198.26,,325005.79418300005,-33.45419400000003,87133.81603249915,-33.45419399999082,-0.00010292355205421266,43.0,fear
2024-05-03,180,19791.026041,109.95014467222222,841810.32,,344796.820224,19791.026041,87041.20916362747,0.0,0.0,48.0,fear
2024-05-04,100,10706.484306,107.06484306,503791.8,,355503.30453,10706.484306,86938.90566168263,0.0,0.0,67.0,greed
2024-05-05,6,0.916,0.15266666666666667,24068.350000000002,,355504.22053000005,0.916,86981.16747782011,0.0,0.0,69.0,greed
2024-05-06,54,56.055506,1.038064925925926,25350.77,,355560.27603600005,56.055506,86980.44369453486,0.0,0.0,71.0,greed
2024-05-07,32,0.0,0.0,272289.89,,355560.27603600005,0.0,86980.44369453486,0.0,0.0,68.0,greed
2024-05-08,80,-13013.665169,-162.6708146125,420495.4,,342546.61086700007,-13013.665169,87218.66388764269,-13013.665168999985,-0.0366004473674173,64.0,greed
2024-05-09,1,0.0,0.0,0.84,,342546.61086700007,0.0,87218.66388764269,-13013.665168999985,-0.0366004473674173,55.0,greed
2024-05-10,37,5767.161892,155.86924032432432,605605.74,,348313.7727590001,5767.161892,78043.5354831674,-7246.503276999982,-0.020380519887621795,66.0,greed
2024-05-11,10,678.4759280000001,67.8475928,200627.23,,348992.2486870001,678.4759280000001,78051.92783623433,-6568.027348999982,-0.018472331673898723,53.0,greed
2024-05-12,456,71574.11848800001,156.96078615789474,1256750.79,,420566.3671750001,71574.11848800001,78781.23589888516,0.0,0.0,56.0,greed
2024-06-01,22,135.58166400000002,6.16280290909091,298521.4,,420701.9488390001,135.58166400000002,78849.85485301436,0.0,0.0,72.0,greed
2024-06-02,1088,-215.615907,-0.19817638511029412,8047153.41,,420486.33293200005,-215.615907,19960.297603171133,-215.61590700002853,-0.0005125146379640899,73.0,greed
2024-06-03,82,6814.825139,83.10762364634145,327218.02,,427301.15807100007,6814.825139,19868.39535835772,0.0,0.0,73.0,greed
2024-06-04,16,236.33513399999998,14.770945874999999,68223.67,,427537.49320500006,236.33513399999998,19860.860174511756,0.0,0.0,73.0,greed
2024-06-05,9,968.59038,107.62115333333333,206016.43,,428506.0835850001,968.59038,19587.173769238212,0.0,0.0,75.0,greed
2024-06-06,234,274.173187,1.1716802863247862,137557.76,,428780.25677200005,274.173187,19591.938888033426,0.0,0.0,78.0,greed
2024-06-07,24,108.87217799999999,4.53634075,2490.17,,428889.12895000004,108.87217799999999,19589.74186422342,0.0,0.0,77.0,greed
2024-06-08,107,267.318048,2.4982995140186914,61478.38,,429156.446998,267.318048,19585.520883341334,0.0,0.0,72.0,greed
2024-06-09,42,-1104.856765,-26.306113452380952,39047.1,,428051.59023300005,-1104.856765,19610.542411751307,-1104.856764999975,-0.0025744848358415506,75.0,greed
2024-06-10,22,130.487079,5.9312308636363635,300130.56,,428182.07731200004,130.487079,18977.02097586265,-974.3696859999909,-0.0022704300327207605,72.0,greed
2024-06-11,15,2817.83723,187.85581533333334,123906.9,,430999.91454200004,2817.83723,18922.017852188455,0.0,0.0,74.0,greed
2024-06-12,403,-92624.643895,-229.83782604218362,3471019.22,,338375.27064700006,-92624.643895,32525.045156200456,-92624.64389499999,-0.2149064089570113,72.0,greed
2024-07-01,97,-835.681235,-8.615270463917525,1048850.06,,337539.58941200003,-835.681235,32522.590732577344,-93460.32513000001,-0.21684534492150698,53.0,greed
2024-07-02,15,241.24212,16.082808,6758.73,,337780.83153200004,241.24212,25034.417230757692,-93219.08301,-0.2162856183140055,51.0,greed
2024-07-04,23,0.0,0.0,49988.14,,337780.83153200004,0.0,25031.92338169647,-93219.08301,-0.2162856183140055,44.0,fear
2024-07-05,18,883.537693,49.08542738888889,108717.58,,338664.36922500003,883.537693,25052.915897225244,-92335.54531700001,-0.21423564646206472,29.0,fear
2024-07-06,440,8902.467416,20.23288049090909,1098588.76,,347566.836641,8902.467416,25140.122172059106,-83433.07790100004,-0.1935802655312816,26.0,fear
2024-07-07,10,61.428942,6.1428942,498.75,,347628.26558300003,61.428942,25136.990979121947,-83371.64895900001,-0.1934377389554578,29.0,fear
2024-07-08,33,188.789255,5.720886515151515,2492.77,,347817.05483800004,188.789255,25121.918470916007,-83182.859704,-0.19299971275491756,28.0,fear
2024-07-10,21,0.0,0.0,219984.65,,347817.05483800004,0.0,25116.95612350348,-83182.859704,-0.19299971275491756,28.0,fear
2024-07-11,113,4493.353136,39.764187044247784,111335.3,,352310.40797400003,4493.353136,25223.182580196684,-78689.50656800001,-0.18257429737919795,29.0,fear
2024-07-12,304,85906.279067,282.5864442993421,451733.42,,438216.687041,85906.279067,35151.921623783375,0.0,0.0,25.0,fear
2024-08-01,128,-269.874439,-2.1083940546875,1522452.43,,437946.812602,-269.874439,35149.428608677576,-269.87443899997743,-0.0006158470158273976,52.0,greed
2024-08-02,10,770.756024,77.07560240000001,26051.12,,438717.568626,770.756024,35149.03760551584,0.0,0.0,57.0,greed
2024-08-03,67,4271.886236,63.7594960597015,183583.18,,442989.454862,4271.886236,35157.756908413845,0.0,0.0,37.0,fear
2024-08-04,30,1218.4267,40.614223333333335,211940.64,,444207.881562,1218.4267,22704.23772378856,0.0,0.0,34.0,fear
2024-08-05,13,1.56576,0.12044307692307693,65973.57,,444209.44732200005,1.56576,22681.51503622758,0.0,0.0,26.0,fear
2024-08-06,29,129.13883900000002,4.453063413793104,97351.88,,444338.5861610001,129.13883900000002,22684.33971743402,0.0,0.0,17.0,fear
2024-08-07,1,0.0,0.0,497.64,,444338.5861610001,0.0,22684.33971743402,0.0,0.0,29.0,fear
